b	  db I	dI	class
0	  1	1.4	0.1	a
5	  1	1.7	0.1	a
10	1	1.9	0.1	a
15	1	2.2	0.1	a
20	1	2.5	0.1	a
25	1	2.9	0.1	a
30	1	3.3	0.1	a
35	1	3.7	0.1	a
40	1	4.1	0.1	a
45	1	4.5	0.1	a
50	1	4.9	0.1	a
55	1	5.1	0.1	a
60	1	5.4	0.1	a
65	1	5.6	0.1	a
70	1	5.7	0.1	a
75	1	5.8	0.1	a
80	1	5.8	0.1	a
85	1	5.6	0.1	a
90	1	5.5	0.1	a
95	1	5.3	0.1	a
100	1	5.0	0.1	a
105	1	4.7	0.1	a
110	1	4.4	0.1	a
115	1	4.0	0.1	a
120	1	3.7	0.1	a
125	1	3.2	0.1	a
130	1	2.8	0.1	a
135	1	2.5	0.1	a
140	1	2.2	0.1	a
145	1	1.8	0.1	a
150	1	1.6	0.1	a
155	1	1.4	0.1	a
160	1	1.3	0.1	a
165	1	1.2	0.1	a
170	1	1.2	0.1	a
175	1	1.3	0.1	a
180	1	1.5	0.1	a
185	1	1.7	0.1	a
190	1	1.9	0.1	a
195	1	2.3	0.1	a
200	1	2.6	0.1	a
205	1	3.0	0.1	a
210	1	3.4	0.1	a
215	1	3.8	0.1	a
220	1	4.1	0.1	a
225	1	4.5	0.1	a
230	1	4.9	0.1	a
235	1	5.2	0.1	a
240	1	5.4	0.1	a
245	1	5.6	0.1	a
250	1	5.7	0.1	a
255	1	5.8	0.1	a
260	1	5.8	0.1	a
265	1	5.6	0.1	a
270	1	5.6	0.1	a
275	1	5.3	0.1	a
280	1	5.1	0.1	a
285	1	4.7	0.1	a
290	1	4.4	0.1	a
295	1	4.1	0.1	a
300	1	3.6	0.1	a
305	1	3.3	0.1	a
310	1	2.8	0.1	a
315	1	2.5	0.1	a
320	1	2.2	0.1	a
325	1	1.8	0.1	a
330	1	1.6	0.1	a
335	1	1.4	0.1	a
340	1	1.3	0.1	a
345	1	1.2	0.1	a
350	1	1.3	0.1	a
355	1	1.3	0.1	a
360	1	1.5	0.1	a
