cos	  dcos	I	  dI	class
0.067	0.009	1.4	0.1	a
0.117	0.011	1.7	0.1	a
0.179	0.013	1.9	0.1	a
0.250	0.015	2.2	0.1	a
0.329	0.016	2.5	0.1	a
0.413	0.017	2.9	0.1	a
0.500	0.017	3.3	0.1	a
0.587	0.017	3.7	0.1	a
0.671	0.016	4.1	0.1	a
0.750	0.015	4.5	0.1	a
0.821	0.013	4.9	0.1	a
0.883	0.011	5.1	0.1	a
0.933	0.009	5.4	0.1	a
0.970	0.006	5.6	0.1	a
0.992	0.003	5.7	0.1	a
1.000	0.000	5.8	0.1	a
0.992	0.003	5.8	0.1	a
0.970	0.006	5.6	0.1	a
0.933	0.009	5.5	0.1	a
0.883	0.011	5.3	0.1	a
0.821	0.013	5.0	0.1	a
0.750	0.015	4.7	0.1	a
0.671	0.016	4.4	0.1	a
0.587	0.017	4.0	0.1	a
0.500	0.017	3.7	0.1	a
0.413	0.017	3.2	0.1	a
0.329	0.016	2.8	0.1	a
0.250	0.015	2.5	0.1	a
0.179	0.013	2.2	0.1	a
0.117	0.011	1.8	0.1	a
0.067	0.009	1.6	0.1	a
0.030	0.006	1.4	0.1	a
0.008	0.003	1.3	0.1	a
0.000	0.000	1.2	0.1	a
0.008	0.003	1.2	0.1	a
0.030	0.006	1.3	0.1	a
0.067	0.009	1.5	0.1	a
0.117	0.011	1.7	0.1	a
0.179	0.013	1.9	0.1	a
0.250	0.015	2.3	0.1	a
0.329	0.016	2.6	0.1	a
0.413	0.017	3.0	0.1	a
0.500	0.017	3.4	0.1	a
0.587	0.017	3.8	0.1	a
0.671	0.016	4.1	0.1	a
0.750	0.015	4.5	0.1	a
0.821	0.013	4.9	0.1	a
0.883	0.011	5.2	0.1	a
0.933	0.009	5.4	0.1	a
0.970	0.006	5.6	0.1	a
0.992	0.003	5.7	0.1	a
1.000	0.000	5.8	0.1	a
0.992	0.003	5.8	0.1	a
0.970	0.006	5.6	0.1	a
0.933	0.009	5.6	0.1	a
0.883	0.011	5.3	0.1	a
0.821	0.013	5.1	0.1	a
0.750	0.015	4.7	0.1	a
0.671	0.016	4.4	0.1	a
0.587	0.017	4.1	0.1	a
0.500	0.017	3.6	0.1	a
0.413	0.017	3.3	0.1	a
0.329	0.016	2.8	0.1	a
0.250	0.015	2.5	0.1	a
0.179	0.013	2.2	0.1	a
0.117	0.011	1.8	0.1	a
0.067	0.009	1.6	0.1	a
0.030	0.006	1.4	0.1	a
0.008	0.003	1.3	0.1	a
0.000	0.000	1.2	0.1	a
0.008	0.003	1.3	0.1	a
0.030	0.006	1.3	0.1	a
0.067	0.009	1.5	0.1	a
